epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.688,0.91531,3.02052,1.14267,0.00324,0.97143,0.94133,0.8593,0.51224,2.85701,0.78563,0.0002,0.0002,0.0002
2,1219.02,0.81876,2.05727,1.0528,0.00804,1,0.94627,0.85484,0.61809,2.59219,0.8077,0.000415842,0.000415842,0.000415842
3,1328.66,0.75808,1.48939,1.03309,1,0.6958,0.95381,0.91481,0.69248,2.51185,0.86102,0.000627328,0.000627328,0.000627328
4,1438.05,0.73825,1.43063,1.01474,1,0.91388,0.94697,0.83142,0.66801,2.53964,0.83442,0.000834458,0.000834458,0.000834458
5,1548.83,0.84355,1.53242,1.07394,0.99137,0.85714,0.95966,0.62542,1.10362,2.64624,1.1322,0.00103723,0.00103723,0.00103723
6,1653.6,0.81234,1.40925,1.03008,0.87851,0.37143,0.7721,0.66634,0.76138,2.56948,0.88583,0.00123565,0.00123565,0.00123565
7,1754.29,0.82925,1.29256,1.0353,1,0.84633,0.93275,0.81144,0.72237,2.17433,0.88038,0.00142971,0.00142971,0.00142971
8,4773.84,0.85194,1.38006,1.05924,0.90253,0.79387,0.87417,0.55974,0.83525,1.937,0.96734,0.00161942,0.00161942,0.00161942
9,4874.06,0.85378,1.27833,1.07669,0.98892,0.77143,0.89288,0.77751,0.89049,1.94325,1.0039,0.00180477,0.00180477,0.00180477
10,4974.83,0.73806,1.16281,1.00527,0.82886,0.82857,0.85826,0.64837,0.8753,1.79282,1.0414,0.0018218,0.0018218,0.0018218
11,5074.33,0.77852,1.17222,1.00841,0.94729,0.11429,0.18143,0.07014,1.99284,3.93223,1.84977,0.001802,0.001802,0.001802
12,5176.74,0.84125,1.13437,1.05176,0.98868,0.57143,0.60569,0.54694,1.65965,2.93289,1.82715,0.0017822,0.0017822,0.0017822
13,5277.14,0.74364,0.97463,1.00948,0.99085,0.62857,0.70044,0.64083,0.77918,1.82975,0.9497,0.0017624,0.0017624,0.0017624
14,5376.08,0.70639,0.99606,0.9891,1,0.90765,0.94267,0.79129,0.86756,1.3343,0.95465,0.0017426,0.0017426,0.0017426
15,6014.75,0.72667,0.89392,0.99137,0.99899,0.97143,0.99342,0.86535,0.64781,0.91893,0.88658,0.0017228,0.0017228,0.0017228
16,7708.17,0.735,0.88875,0.9963,0.98909,0.91429,0.97603,0.82702,0.7454,0.96089,0.88985,0.001703,0.001703,0.001703
17,7849.31,0.71164,0.81592,0.98037,0.96817,0.94286,0.98548,0.83704,0.73216,0.83124,0.87449,0.0016832,0.0016832,0.0016832
18,7969.09,0.73687,0.87429,0.98201,1,0.99755,0.995,0.82142,0.82217,0.96318,0.97461,0.0016634,0.0016634,0.0016634
19,9094.97,0.71266,0.89173,1.00612,0.89272,1,0.98536,0.8836,0.57435,0.9233,0.81807,0.0016436,0.0016436,0.0016436
20,10471.2,0.70548,0.82358,0.97941,0.99655,0.94286,0.98418,0.90761,0.64013,0.84077,0.86065,0.0016238,0.0016238,0.0016238
21,11507.2,0.65109,0.73852,0.94034,0.99315,1,0.995,0.89354,0.62124,1.0497,0.8556,0.001604,0.001604,0.001604
22,11643.1,0.66861,0.72938,0.97416,0.99344,0.94286,0.9626,0.8686,0.60849,1.12429,0.81902,0.0015842,0.0015842,0.0015842
23,11748.7,0.6274,0.76283,0.97593,0.99954,0.97143,0.99342,0.88482,0.48812,0.73101,0.78548,0.0015644,0.0015644,0.0015644
24,11854.3,0.64582,0.70562,0.96264,0.9945,0.97143,0.99295,0.90644,0.47575,0.66403,0.79424,0.0015446,0.0015446,0.0015446
25,11960.9,0.54588,0.62816,0.92979,1,0.99984,0.995,0.90574,0.44593,0.55883,0.78894,0.0015248,0.0015248,0.0015248
26,12067.1,0.56963,0.62943,0.94113,1,0.99749,0.995,0.88738,0.56037,0.56329,0.81424,0.001505,0.001505,0.001505
27,12191.9,0.58815,0.64993,0.94968,0.99765,1,0.995,0.8628,0.46179,0.53403,0.79835,0.0014852,0.0014852,0.0014852
28,12410.3,0.57448,0.63553,0.93421,0.99869,1,0.995,0.96157,0.3985,0.68006,0.77133,0.0014654,0.0014654,0.0014654
29,13785.8,0.60135,0.63838,0.95879,0.99425,0.94286,0.99083,0.94632,0.47858,0.74267,0.78671,0.0014456,0.0014456,0.0014456
30,13899.4,0.56532,0.61266,0.95324,0.99823,1,0.995,0.91851,0.48126,0.52145,0.78989,0.0014258,0.0014258,0.0014258
31,14003,0.55387,0.58169,0.91176,0.99522,1,0.995,0.9186,0.46996,0.55492,0.81257,0.001406,0.001406,0.001406
32,14170.5,0.54175,0.56847,0.9016,1,0.94154,0.98987,0.91023,0.47527,0.52214,0.81953,0.0013862,0.0013862,0.0013862
33,14275.9,0.55059,0.58988,0.93747,1,0.96841,0.99444,0.87876,0.62745,0.49501,0.82043,0.0013664,0.0013664,0.0013664
34,14383.5,0.53615,0.54801,0.94705,0.97038,1,0.99361,0.93701,0.47907,0.49691,0.77843,0.0013466,0.0013466,0.0013466
35,14492.7,0.54959,0.544,0.92697,0.99726,1,0.995,0.92315,0.45511,0.47677,0.78027,0.0013268,0.0013268,0.0013268
